uid;name;gs_x;gs_y;gs_z;cg;osn;mark;spf;tt
1hsJUbS8Y5iKSA;Пластина;65;40;0;50;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие: Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85 . | Покрытие: Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85 . | Покрытие: Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85 . | Покрытие: Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
CTqFVoEYY5iKSA;Крышка люка;256;138;0;48;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр/Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
DvZ9F6EkY5iKSA;-1;70;70;0;3;002-053;-1;-1;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр/Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85. | Маркировать Ч и клеймить K на бирке. | Маркировать Ч и клеймить K на бирке.
0Yf93RsVY5iKSA;Накладка;70;70;0;3;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр/Грунтовка ЭП-0215, ОСТ 1 90055-85. | Маркировать Ч и клеймить K на бирке. | Маркировать Ч и клеймить K на бирке.
24e9znXEY5iKSA;Прокладка;90;55;0;6;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр. поверхность , выходящую на теоретический контур Груньовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Эмаль ЭП-140 , серебристая 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
2kZ9znXEY5iKSA;Прокладка;55;35;0;6;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр. поверхность , выходящую на теоретический контур Груньовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Эмаль ЭП-140 , серебристая 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
2QU9znXEY5iKSA;Прокладка;100;55;0;6;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр. поверхность , выходящую на теоретический контур Груньовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Эмаль ЭП-140 , серебристая 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
1yvFufHNY5iKSA;Окантовка;525;375;0;3;002-017-072-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / поверхность , выходящую на теоретический контур Грунтовка ЭП-0215 , 469 ОСТ 1 90055-85 , остальные поверхности Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
2DjBEopBY5iKSA;Прокладка;170;30;0;4;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
3_b53bhMY5iKSA;Профиль;80;0;0;3;002-053;Д19ч;Профиль;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
4jrB3GmtY5iKSA;Прокладка;45;55;0;4;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
52oFhbvfY5iKSA;Накладка;60;0;0;61;002-053;Д19ч;Профиль;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Ч и клеймить K на бирке. | Маркировать Ч и клеймить K на бирке.
5Ka5nHrrY5iKSA;Прокладка;95;70;0;6;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , серебристая. 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , серебристая. 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , серебристая. 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 , серебристая. 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
5WS5H292Y5iKSA;Профиль;1430;0;0;3;002-002-053;Д19ч;Профиль;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
5zR95dtAY5iKSA;Накладка;32;16;0;53;002-053;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Ч и клеймить K на бирке. | Маркировать Ч и клеймить K на бирке.
8fT5p1OtY5iKSA;Профиль;345;0;0;3;002-053;Д19ч;Профиль;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
DooBRPIiY5iKSA;-1;1055;65;0;4;002-072-053;-1;-1;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
DyW9F6EkY5iKSA;-1;70;70;0;3;002-053;-1;-1;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140, слоновая кость. 597 ОСТ 1 90055-85. | Маркировать Ч и клеймить K на бирке. | Маркировать Ч и клеймить K на бирке.
7njBWweXY5iKSA;Уголок;135;85;0;90;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Калить и естественно старить по ПИ 1.2.699-2007. Группа контроля 5 ОСТ 1 00021-78. | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр/Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
7vvBigLPY5iKSA;Гребенка;1325;65;0;4;002-006-072-053;АМг2;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | * Размеры для справок. | Деформацию и ширину пазов 2 мм после формообразования не контролировать. | Разрешается не контролировать расположение гребенки в согнутом виде. | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Эмаль ЭП-140 слоновая кость, 597 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
AaQ5Xy3HY5iKSA;Прокладка;55;45;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
AfW5bN4uY5iKSA;Прокладка;45;40;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная.
ALX5bN4uY5iKSA;Прокладка;45;40;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 эмалью ЭП-5203 черная.
AyV5Xy3HY5iKSA;Прокладка;55;45;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 . 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 .
03V9qbuOY5iKSA;Прокладка;125;55;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 .
0jQ9qbuOY5iKSA;Прокладка;350;115;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 .
0Lb9qbuOY5iKSA;Прокладка;135;70;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 .
2DX5q_a7Y5iKSA;Прокладка;270;35;0;20;002-042;Д19ч;Лист;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 .
DvQ5rsugY5iKSA;-1;70;40;0;20;002-042;-1;-1;Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Предельные отклонения размеров - по ОСТ 1 00022-80 . | Контроль визуальный - после анодирования . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Покрытие Ан.Окс.нхр / Грунтовка ЭП-0215 , 400 ОСТ 1 90055-85 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк эмалью ЭП-5203 черная шрифтом ПО-5 ГОСТ 2930-62 .
2lrBHM2TY5iKSA;Заглушка;90;40;0;3;002-017-053;Д19ч;Лист;"Шероховатости поверхностей указаны цветом в соответствии с инструкцией 30.0011.0155.998 | Неуказанные предельные отклонения размеров, допуски формы и расположения поверхностей - по ОСТ 1 00022-80 . | Предельные отклонения размеров на обрабатываемые толщины <font face=""Arial Unicode MS"">&#177;0</font>,2 мм. | Контроль визуальный - после анодирования . | Покрытие: Ан.Окс.нхр/Поверхность выходящая на теоретический контур Грунтовка ЭП-0215, 469 ОСТ 1 90055-85, остальные поверхности Эмаль ЭП-140, слоновая кость, 597 ОСТ 1 90055-85. | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 . | Маркировать Чк и клеймить Кк шрифтом ПО-5 ГОСТ 2930-62 ."
